Contract,tenure,MonthlyCharges,Churn
Two year,54,45.2,No
Two year,57,95.25,Yes
Month-to-month,24,89.85,Yes
One year,49,100.45,Yes
Month-to-month,5,47.15,Yes
Month-to-month,2,80.2,Yes
Month-to-month,4,87.1,Yes
Two year,70,79.25,No
Month-to-month,5,75.9,Yes
Month-to-month,53,85.7,No
Month-to-month,47,98.75,Yes
One year,31,20.1,No
Month-to-month,13,61.8,No
Month-to-month,28,49.9,No
Month-to-month,10,86.45,Yes
Two year,38,20.4,No
Month-to-month,1,45.3,Yes
One year,67,104.1,Yes
One year,52,75.4,No
Two year,62,108.15,No
Month-to-month,16,86.25,No
Month-to-month,5,81.0,Yes
One year,12,95.7,No
Two year,72,116.85,No
One year,71,105.75,No
One year,24,20.15,No
Two year,15,19.6,No
One year,67,90.6,Yes
Month-to-month,2,60.95,No
Month-to-month,5,25.05,No
Month-to-month,15,88.15,Yes
Month-to-month,1,20.2,Yes
One year,41,60.3,No
Month-to-month,43,63.95,No
Month-to-month,1,74.3,No
Month-to-month,1,70.6,No
Month-to-month,26,90.8,Yes
Month-to-month,22,79.35,Yes
Two year,71,90.55,No
Two year,7,19.45,No
Month-to-month,28,64.45,No
Month-to-month,16,69.65,No
One year,7,19.5,No
Two year,69,110.5,No
Month-to-month,1,24.7,No
Month-to-month,3,77.4,No
Month-to-month,21,96.8,Yes
Month-to-month,69,85.4,No
Two year,71,47.6,No
Two year,69,19.4,No
Month-to-month,48,103.85,No
Month-to-month,47,83.35,Yes
Month-to-month,2,49.4,Yes
Month-to-month,45,108.45,No
Month-to-month,51,81.0,No
Month-to-month,22,79.2,Yes
Two year,72,86.65,No
Month-to-month,37,92.95,No
Two year,71,90.35,No
Month-to-month,7,48.7,Yes
Two year,66,25.15,No
One year,51,76.4,No
One year,30,19.55,No
Month-to-month,34,85.35,No
Two year,64,24.8,No
One year,65,103.15,No
Month-to-month,47,100.75,No
Month-to-month,1,95.6,Yes
Month-to-month,49,59.75,Yes
Two year,67,94.1,No
One year,39,19.35,No
Month-to-month,14,19.9,No
Month-to-month,43,108.15,Yes
Month-to-month,56,101.05,No
One year,14,59.1,No
Month-to-month,1,71.35,Yes
One year,16,55.85,No
Month-to-month,70,106.05,No
Two year,72,84.1,No
Month-to-month,23,75.3,No
Month-to-month,21,24.7,No
Month-to-month,1,20.15,Yes
Month-to-month,1,69.75,Yes
Month-to-month,32,93.2,Yes
Month-to-month,17,80.85,Yes
Month-to-month,4,33.65,Yes
One year,36,55.8,No
Two year,50,39.7,No
Month-to-month,48,29.5,No
Two year,50,20.15,No
Two year,72,79.55,No
Month-to-month,10,24.8,No
Month-to-month,18,19.65,No
Month-to-month,1,79.95,Yes
Month-to-month,1,19.3,Yes
Month-to-month,9,94.05,No
Month-to-month,2,90.75,No
Month-to-month,40,78.85,No
One year,69,99.5,No
One year,37,99.2,Yes
Month-to-month,18,80.55,No
Month-to-month,11,70.2,No
Month-to-month,8,85.2,Yes
Month-to-month,3,75.25,Yes
One year,55,59.45,No
Month-to-month,33,93.35,No
Month-to-month,46,44.95,No
Two year,34,26.1,No
Month-to-month,3,20.2,No
Two year,30,21.25,No
One year,33,59.4,No
One year,45,95.0,No
Month-to-month,40,61.9,No
Two year,71,118.65,No
Month-to-month,1,54.35,Yes
Two year,72,64.45,No
Month-to-month,22,80.15,No
One year,46,20.2,No
Two year,55,21.0,No
Month-to-month,1,20.45,No
One year,12,75.85,No
Month-to-month,31,80.45,No
Month-to-month,5,24.95,Yes
Two year,67,75.5,No
Month-to-month,1,44.45,No
One year,40,42.35,Yes
Month-to-month,41,74.55,No
Month-to-month,1,75.3,Yes
One year,51,94.8,Yes
Two year,42,48.15,No
One year,23,19.65,No
Month-to-month,1,70.55,Yes
Month-to-month,1,20.15,No
Month-to-month,56,106.6,No
Month-to-month,15,91.0,No
Two year,12,25.4,No
Two year,54,69.95,No
Month-to-month,7,66.85,No
Month-to-month,33,86.15,Yes
Month-to-month,16,20.15,No
One year,21,64.85,No
Two year,30,74.85,No
Month-to-month,3,50.5,No
Month-to-month,11,72.9,No
One year,62,115.05,No
Month-to-month,18,19.0,No
Month-to-month,6,19.55,No
One year,46,101.1,No
Month-to-month,21,84.1,No
Two year,68,24.15,No
Month-to-month,1,50.1,No
Month-to-month,25,74.6,No
Two year,24,19.75,No
Month-to-month,30,85.0,Yes
Month-to-month,2,80.55,Yes
One year,51,106.8,No
Two year,57,84.5,No
Two year,15,25.05,No
Two year,72,83.7,No
Month-to-month,2,75.8,Yes
Month-to-month,28,96.6,No
Month-to-month,29,98.5,Yes
Two year,70,101.1,No
One year,13,20.2,No
One year,59,94.05,No
Month-to-month,13,95.25,Yes
Month-to-month,7,74.4,Yes
Two year,62,81.0,No
One year,21,60.25,No
Month-to-month,2,60.85,No
Month-to-month,1,43.95,No
Month-to-month,4,86.05,No
One year,19,20.25,No
Month-to-month,30,85.15,Yes
Two year,67,19.4,No
Two year,72,102.65,No
Two year,53,19.9,No
One year,5,19.55,No
Two year,71,95.5,No
One year,50,84.15,No
Two year,56,103.2,No
Month-to-month,2,50.2,No
Month-to-month,2,88.55,Yes
Month-to-month,24,54.75,Yes
Two year,46,19.95,No
Two year,71,116.25,No
Month-to-month,29,31.2,No
Two year,69,24.45,No
Two year,71,84.2,No
Month-to-month,1,91.3,Yes
Two year,56,85.65,No
One year,56,21.2,No
Month-to-month,1,79.5,Yes
One year,28,25.55,No
Month-to-month,19,20.2,No
Month-to-month,66,63.85,No
One year,17,61.95,No
Two year,52,25.75,No
One year,19,58.2,No
One year,36,85.85,No
Month-to-month,7,70.1,Yes
One year,72,104.9,No
One year,67,111.3,Yes
One year,34,99.85,No
Month-to-month,57,95.25,Yes
Month-to-month,7,86.25,Yes
Month-to-month,1,100.8,Yes
Month-to-month,8,19.55,No
Two year,69,104.0,No
One year,50,104.4,No
One year,10,19.5,No
Two year,12,25.25,No
Month-to-month,14,86.3,Yes
Two year,70,49.85,No
Month-to-month,64,108.95,No
Two year,66,89.9,No
Two year,71,82.0,No
Month-to-month,20,89.95,No
Two year,72,79.35,No
Two year,71,64.05,No
Month-to-month,38,101.15,No
Month-to-month,28,89.95,Yes
Month-to-month,17,76.45,Yes
One year,33,39.1,No
Two year,23,34.6,No
One year,58,19.55,No
Two year,70,104.45,No
Month-to-month,4,70.5,No
Two year,45,20.35,No
Month-to-month,10,70.0,Yes
Two year,36,19.45,No
Month-to-month,54,69.9,No
Two year,23,59.7,No
One year,41,78.35,No
Month-to-month,5,71.45,No
One year,27,45.85,No
Month-to-month,1,95.85,No
Two year,67,35.7,No
Two year,72,89.55,No
Two year,56,24.95,No
One year,44,24.85,No
Month-to-month,66,100.8,No
One year,34,64.4,Yes
Two year,69,105.35,No
Month-to-month,1,102.45,Yes
Two year,40,19.65,No
Month-to-month,30,54.45,No
Month-to-month,11,70.5,No
One year,15,20.1,No
Month-to-month,11,69.35,No
One year,64,19.8,No
Two year,72,74.4,No
Two year,72,93.05,No
Month-to-month,1,51.2,No
One year,15,65.6,No
One year,60,80.55,No
One year,56,52.7,No
Two year,8,20.85,No
Month-to-month,3,80.1,Yes
Month-to-month,49,52.15,No
Month-to-month,2,80.2,Yes
Month-to-month,6,98.15,Yes
Two year,70,114.95,No
Month-to-month,12,112.95,Yes
One year,52,104.45,No
Two year,72,113.65,No
Two year,40,20.6,No
Month-to-month,1,70.9,Yes
Month-to-month,3,86.85,Yes
Month-to-month,40,91.55,No
Month-to-month,1,49.85,No
One year,30,19.8,No
Month-to-month,23,99.85,Yes
Month-to-month,1,74.5,Yes
Month-to-month,44,104.15,No
Month-to-month,65,109.15,Yes
Month-to-month,7,48.2,No
Two year,72,25.1,No
Month-to-month,8,100.15,No
Month-to-month,16,65.2,Yes
Month-to-month,66,99.5,Yes
Month-to-month,1,71.55,Yes
Month-to-month,3,55.9,No
Month-to-month,53,93.9,Yes
Month-to-month,8,64.4,No
Two year,69,108.4,Yes
Month-to-month,5,85.3,No
Two year,72,107.45,No
Month-to-month,13,48.75,Yes
Month-to-month,4,85.65,Yes
Two year,54,91.3,No
Two year,72,85.95,No
Month-to-month,12,106.7,Yes
Month-to-month,1,25.15,Yes
Month-to-month,1,45.2,No
One year,54,110.35,Yes
Two year,69,79.2,No
Two year,48,55.5,No
One year,48,103.25,Yes
Month-to-month,8,90.25,No
Two year,71,91.25,No
Month-to-month,2,47.8,Yes
One year,67,100.9,No
Month-to-month,34,97.7,No
Month-to-month,3,69.85,No
One year,9,65.6,No
One year,71,104.65,No
Two year,57,90.45,No
Two year,72,63.7,No
Month-to-month,48,104.5,No
One year,18,20.1,No
One year,43,104.3,No
Two year,72,93.25,No
One year,35,73.45,No
Month-to-month,4,20.7,No
Two year,49,25.25,No
Two year,71,100.5,No
Month-to-month,11,90.6,No
Two year,63,89.4,No
Month-to-month,65,95.45,No
Two year,49,20.45,No
Month-to-month,29,98.6,Yes
Month-to-month,15,83.05,Yes
Month-to-month,4,19.95,No
One year,72,109.15,No
Month-to-month,26,85.7,No
Month-to-month,35,102.05,No
One year,57,94.7,No
Month-to-month,28,64.4,No
One year,25,26.8,No
One year,47,66.05,No
Month-to-month,57,65.2,No
Month-to-month,16,85.05,No
Month-to-month,5,55.8,No
Month-to-month,17,70.4,Yes
One year,56,104.75,Yes
Two year,72,19.95,No
Month-to-month,21,94.25,Yes
One year,48,45.0,No
Two year,68,114.9,No
Month-to-month,30,106.4,No
Month-to-month,3,46.1,No
Two year,14,39.7,No
Month-to-month,4,20.05,No
Two year,71,95.75,No
One year,8,24.4,No
Month-to-month,61,33.6,No
Two year,72,90.45,No
Month-to-month,5,84.0,No
Two year,49,67.4,No
Month-to-month,8,19.7,No
Month-to-month,3,80.35,No
Two year,9,19.6,No
Two year,67,54.2,No
Month-to-month,46,45.2,No
One year,67,75.1,No
One year,55,19.7,No
Month-to-month,33,72.75,No
Two year,62,20.05,No
Month-to-month,1,45.95,Yes
Month-to-month,49,39.2,No
Month-to-month,1,44.75,No
Month-to-month,14,82.65,No
Month-to-month,18,93.9,No
Month-to-month,1,70.15,Yes
Month-to-month,1,85.55,Yes
Two year,72,117.15,No
Two year,64,99.25,No
Two year,69,112.55,No
Month-to-month,1,25.7,No
Two year,71,90.3,No
One year,66,49.4,No
Month-to-month,2,19.4,No
Two year,71,109.7,No
One year,11,61.25,No
Month-to-month,47,55.3,No
Month-to-month,35,70.3,Yes
Month-to-month,32,106.35,Yes
Month-to-month,60,103.75,No
One year,11,19.5,No
One year,29,39.5,No
Month-to-month,21,26.05,No
Month-to-month,48,91.05,No
Month-to-month,3,29.65,No
Month-to-month,43,50.2,No
Month-to-month,5,105.3,No
Month-to-month,1,55.45,No
One year,71,85.45,No
One year,8,19.8,No
Month-to-month,8,59.25,No
Month-to-month,20,90.7,No
One year,33,103.7,Yes
One year,71,79.05,No
One year,31,90.7,No
One year,38,95.0,No
Month-to-month,1,88.35,Yes
Month-to-month,2,30.25,No
Month-to-month,12,49.85,No
Month-to-month,9,93.0,No
Month-to-month,11,54.55,No
Month-to-month,6,19.7,No
One year,71,84.8,No
One year,42,94.45,No
Month-to-month,8,94.2,Yes
Month-to-month,5,96.25,Yes
Month-to-month,2,70.7,Yes
Two year,45,20.85,No
One year,28,60.0,No
Month-to-month,43,80.45,No
Two year,60,84.95,No
One year,42,33.55,Yes
Two year,7,49.65,No
One year,25,20.2,No
Month-to-month,40,94.55,Yes
One year,27,100.5,No
Month-to-month,10,35.75,No
Month-to-month,27,86.45,No
One year,11,53.8,No
Month-to-month,4,38.55,No
Month-to-month,68,39.9,No
Month-to-month,1,70.05,No
One year,18,20.1,No
Two year,57,112.95,Yes
Month-to-month,26,20.3,No
Month-to-month,17,35.65,No
Month-to-month,1,35.9,Yes
Month-to-month,38,99.25,Yes
One year,59,82.95,No
Two year,30,55.65,No
Month-to-month,2,24.45,Yes
One year,50,25.2,No
One year,9,50.8,No
Month-to-month,3,19.65,No
Month-to-month,14,59.8,No
Month-to-month,31,73.55,No
Month-to-month,7,61.4,No
Month-to-month,8,103.35,Yes
One year,17,19.9,No
Month-to-month,32,19.45,No
Month-to-month,2,81.5,No
Month-to-month,7,84.8,Yes
Two year,72,109.55,No
Month-to-month,31,99.95,Yes
Month-to-month,27,74.4,No
Month-to-month,18,90.0,Yes
Month-to-month,7,74.9,No
Month-to-month,14,104.85,Yes
Month-to-month,11,59.65,No
Two year,72,110.45,No
One year,28,106.1,Yes
Month-to-month,15,74.2,Yes
Month-to-month,4,74.45,No
Two year,71,24.55,No
Month-to-month,5,89.35,Yes
Two year,47,24.55,No
One year,57,90.65,No
Two year,50,105.05,No
Month-to-month,8,20.45,No
Two year,48,19.55,No
One year,70,19.7,No
Month-to-month,1,70.45,No
Month-to-month,8,85.65,No
Month-to-month,1,77.15,Yes
Month-to-month,1,35.25,Yes
Two year,60,20.55,No
One year,49,97.95,No
Month-to-month,4,48.55,Yes
One year,29,20.0,No
Two year,67,25.25,No
Month-to-month,53,98.4,Yes
Two year,67,70.9,No
Month-to-month,6,19.85,No
Month-to-month,47,106.35,No
Two year,53,99.5,No
Two year,69,84.7,No
Month-to-month,3,86.05,No
Month-to-month,4,44.55,No
Two year,56,75.85,No
Month-to-month,59,93.85,Yes
Two year,61,25.0,No
Month-to-month,2,45.0,No
Month-to-month,46,100.7,Yes
Month-to-month,12,20.5,No
Month-to-month,14,80.45,Yes
One year,28,90.45,No
Month-to-month,24,60.45,No
Month-to-month,31,55.25,Yes
One year,68,78.45,No
Two year,39,100.55,No
Month-to-month,42,20.35,No
Month-to-month,13,54.45,Yes
Month-to-month,6,90.75,No
Month-to-month,35,75.35,Yes
One year,38,20.25,No
Two year,18,20.05,No
Month-to-month,4,19.6,No
Month-to-month,27,53.8,No
One year,41,70.2,No
One year,50,75.5,No
Two year,72,20.35,No
One year,70,26.05,No
One year,44,20.6,No
Month-to-month,2,75.7,Yes
One year,34,20.1,No
Two year,72,24.3,No
Two year,71,24.5,No
Two year,64,110.5,No
Two year,72,25.25,No
Month-to-month,1,74.25,Yes
One year,29,90.1,No
One year,23,68.75,No
Two year,52,19.2,No
Month-to-month,25,89.7,Yes
Two year,64,115.1,No
Month-to-month,16,96.4,Yes
Month-to-month,1,69.5,Yes
Month-to-month,24,99.65,No
Month-to-month,2,91.45,No
Two year,34,84.75,No
Month-to-month,36,85.25,Yes
One year,53,78.75,No
Two year,47,20.25,No
Two year,72,19.9,No
Two year,72,97.75,No
Month-to-month,1,19.4,Yes
Month-to-month,9,83.3,Yes
Month-to-month,8,80.1,Yes
One year,45,62.7,Yes
Month-to-month,7,100.4,No
Two year,71,24.45,No
One year,41,101.1,No
Two year,67,50.9,No
One year,69,107.2,No
Two year,70,92.2,No
One year,25,25.3,Yes
Two year,72,113.4,No
Two year,34,40.55,No
Two year,65,26.0,No
Two year,70,111.95,No
Two year,72,53.8,No
One year,35,72.1,No
Month-to-month,13,98.15,Yes
One year,12,78.85,No
One year,62,70.75,No
Month-to-month,25,76.15,No
Two year,52,39.1,No
Month-to-month,8,69.95,No
Month-to-month,2,20.05,No
Two year,56,20.05,No
Month-to-month,12,19.45,No
One year,47,26.9,No
Month-to-month,2,19.2,No
Month-to-month,18,50.0,No
Month-to-month,8,60.0,No
Month-to-month,45,84.55,No
Month-to-month,3,45.45,No
One year,38,20.05,No
Two year,72,115.55,No
Month-to-month,46,93.7,Yes
Two year,71,99.0,No
Two year,66,50.55,No
Month-to-month,25,105.95,Yes
One year,18,82.0,Yes
Two year,13,25.0,No
Two year,65,91.55,No
Month-to-month,60,95.75,Yes
Two year,15,19.35,No
Two year,72,24.85,No
Month-to-month,30,94.05,Yes
Two year,42,100.4,No
Two year,71,25.0,No
Month-to-month,1,54.75,Yes
Month-to-month,39,95.65,Yes
Month-to-month,35,19.25,No
Month-to-month,53,108.25,No
Month-to-month,1,94.6,Yes
Month-to-month,31,98.9,Yes
Two year,48,20.15,No
Month-to-month,30,101.3,No
Month-to-month,10,20.0,No
Month-to-month,12,105.3,No
Two year,57,69.85,No
Month-to-month,58,65.25,No
Two year,37,19.8,No
Month-to-month,44,19.6,No
One year,27,20.05,No
Month-to-month,8,49.4,No
Month-to-month,3,76.05,Yes
Month-to-month,25,88.4,No
Month-to-month,57,100.6,No
Month-to-month,12,19.45,No
Two year,62,20.3,No
Two year,65,107.65,No
Two year,71,80.45,No
One year,21,58.85,No
One year,71,109.6,No
Month-to-month,7,75.15,No
Two year,72,73.0,No
Month-to-month,1,70.1,No
Two year,72,98.65,No
One year,64,111.45,No
Two year,72,114.9,No
Month-to-month,29,100.55,No
Two year,13,20.4,No
Month-to-month,31,104.35,No
Month-to-month,1,69.75,Yes
Month-to-month,7,34.5,Yes
Month-to-month,61,105.55,Yes
Month-to-month,39,30.1,Yes
Month-to-month,10,70.3,Yes
Month-to-month,14,80.45,No
Month-to-month,1,80.2,Yes
One year,67,94.35,Yes
Two year,72,91.35,No
Month-to-month,6,44.6,Yes
Month-to-month,1,19.6,Yes
One year,25,19.9,No
Month-to-month,33,110.45,Yes
Month-to-month,18,68.35,No
Two year,71,79.1,No
One year,28,51.0,No
Month-to-month,2,80.55,No
Month-to-month,17,66.7,No
Month-to-month,56,86.4,No
One year,60,50.05,No
Two year,33,25.7,No
Month-to-month,1,83.4,No
Month-to-month,2,70.7,Yes
Two year,63,84.65,No
Month-to-month,7,99.25,Yes
Two year,55,64.75,No
One year,65,100.15,No
Month-to-month,1,84.8,Yes
Two year,63,25.25,No
Two year,70,113.0,No
Two year,36,40.65,No
One year,52,105.0,Yes
Month-to-month,22,54.45,Yes
Month-to-month,22,94.95,No
Month-to-month,5,59.9,No
Month-to-month,47,85.3,Yes
Month-to-month,33,83.35,Yes
Month-to-month,18,33.5,Yes
Month-to-month,1,19.8,No
Two year,56,81.8,No
Month-to-month,2,20.0,No
Month-to-month,35,59.6,No
Two year,64,25.0,No
Month-to-month,15,84.35,No
Month-to-month,24,90.35,Yes
Month-to-month,1,55.55,No
Two year,70,75.35,No
Month-to-month,1,90.75,Yes
Month-to-month,4,89.6,Yes
One year,39,59.3,No
Month-to-month,29,66.1,No
Two year,14,18.8,No
Two year,61,86.45,No
Month-to-month,13,52.1,No
Two year,66,47.4,No
Month-to-month,2,49.25,Yes
One year,59,109.15,No
One year,62,94.95,No
One year,33,93.55,No
Two year,66,79.5,No
Two year,72,115.05,No
Month-to-month,1,19.75,Yes
Month-to-month,19,95.15,Yes
One year,51,95.15,No
Month-to-month,63,105.4,No
One year,27,20.1,No
Month-to-month,22,101.35,Yes
Month-to-month,4,20.05,No
Two year,42,20.7,No
One year,29,20.35,No
Month-to-month,4,70.05,Yes
One year,30,19.7,No
Month-to-month,4,74.65,Yes
Two year,71,85.45,No
Two year,46,40.4,No
Month-to-month,4,50.4,Yes
Month-to-month,7,79.65,Yes
One year,69,105.2,No
Two year,72,100.65,No
Month-to-month,19,79.85,Yes
Month-to-month,28,91.0,No
Month-to-month,5,78.75,Yes
Two year,72,116.75,No
Month-to-month,8,80.45,Yes
One year,7,59.1,No
Month-to-month,22,49.8,No
Two year,72,19.3,No
Month-to-month,8,19.65,No
One year,52,81.4,No
Two year,68,38.9,No
Two year,71,87.95,No
Month-to-month,2,19.85,No
Month-to-month,34,96.35,No
Month-to-month,35,24.15,No
One year,61,19.1,No
Month-to-month,1,44.0,No
Month-to-month,1,50.1,Yes
One year,53,60.6,No
Two year,72,25.65,No
Month-to-month,2,76.4,Yes
Month-to-month,3,98.7,Yes
Month-to-month,13,100.8,Yes
Month-to-month,41,53.95,No
One year,24,20.4,No
One year,28,90.1,Yes
Month-to-month,8,29.35,No
Month-to-month,1,20.45,No
Two year,54,95.1,No
Month-to-month,41,25.25,No
Month-to-month,19,44.9,No
Two year,72,92.65,No
Two year,62,43.7,No
Two year,56,72.6,No
Month-to-month,15,51.55,Yes
Month-to-month,10,79.25,Yes
Two year,32,18.95,No
Month-to-month,21,20.5,No
One year,62,19.95,No
Month-to-month,2,24.5,No
Two year,27,20.6,No
Month-to-month,5,94.85,Yes
One year,25,61.05,No
Month-to-month,2,85.7,Yes
One year,49,106.65,No
Month-to-month,63,108.25,No
Month-to-month,4,20.4,No
Month-to-month,1,55.3,No
Month-to-month,11,20.25,No
Month-to-month,52,72.95,No
Month-to-month,60,89.45,No
One year,64,104.65,No
Two year,43,75.2,No
One year,61,101.15,No
Month-to-month,1,44.4,Yes
Month-to-month,5,89.5,Yes
Two year,66,68.75,No
Two year,67,111.05,No
Two year,42,99.0,No
Month-to-month,1,86.05,Yes
Two year,31,21.0,No
Month-to-month,7,19.4,No
Month-to-month,4,44.55,Yes
One year,34,77.2,No
One year,3,19.45,No
Month-to-month,19,24.85,No
Month-to-month,31,35.4,Yes
Month-to-month,1,95.65,Yes
Month-to-month,3,41.35,No
Month-to-month,46,19.6,No
Month-to-month,1,20.95,Yes
One year,69,84.45,No
Month-to-month,5,20.25,No
Month-to-month,1,19.65,No
One year,26,20.65,No
Month-to-month,10,34.7,Yes
Two year,25,99.3,No
Month-to-month,64,81.05,No
Month-to-month,30,67.6,No
Month-to-month,13,70.15,No
One year,64,115.0,No
Month-to-month,46,84.8,No
One year,12,19.7,No
Month-to-month,15,19.75,Yes
Month-to-month,17,92.55,Yes
Month-to-month,13,63.15,No
Two year,67,74.0,No
Month-to-month,24,29.1,No
Month-to-month,6,50.05,No
One year,53,60.05,Yes
Month-to-month,16,74.3,Yes
Month-to-month,10,20.0,No
One year,13,74.65,No
Month-to-month,9,85.35,Yes
One year,25,74.3,Yes
Month-to-month,7,44.4,No
Two year,38,85.4,No
Month-to-month,43,94.1,No
Month-to-month,4,98.1,Yes
Two year,25,108.9,No
One year,27,56.2,No
Two year,72,26.1,No
One year,71,85.45,No
Month-to-month,24,88.95,No
Two year,50,109.65,Yes
Two year,57,74.35,No
Month-to-month,15,48.85,No
Month-to-month,4,80.1,No
Month-to-month,28,56.05,No
Month-to-month,9,74.55,Yes
Month-to-month,55,89.8,No
Month-to-month,3,100.95,Yes
Month-to-month,10,94.9,Yes
One year,55,19.1,No
Month-to-month,20,20.35,No
One year,62,106.05,No
Month-to-month,32,104.9,Yes
Two year,43,19.65,No
One year,9,24.1,Yes
Two year,60,59.85,No
Two year,58,86.1,No
One year,7,19.45,No
Month-to-month,2,97.1,No
Month-to-month,37,36.65,No
One year,65,103.9,No
Two year,39,19.75,No
One year,66,104.05,Yes
Two year,68,24.55,No
Two year,62,48.7,No
Month-to-month,3,88.35,Yes
Two year,72,109.55,No
Two year,41,20.65,No
Month-to-month,29,94.65,Yes
Month-to-month,4,55.2,No
One year,53,24.05,No
Month-to-month,1,74.4,Yes
Month-to-month,41,79.9,Yes
Two year,39,20.45,No
Two year,63,19.25,No
Month-to-month,15,26.35,No
One year,13,43.8,No
Month-to-month,1,50.15,No
Two year,1,20.45,No
Month-to-month,8,69.7,Yes
Two year,60,61.4,No
Month-to-month,12,98.1,Yes
One year,40,70.75,No
Two year,66,61.15,No
One year,42,20.25,No
One year,66,63.85,No
Month-to-month,49,98.7,No
Month-to-month,1,20.5,Yes
Two year,41,20.0,No
Two year,41,19.3,No
Month-to-month,23,84.4,No
Month-to-month,3,25.1,No
Month-to-month,4,48.25,No
Two year,52,19.85,No
Month-to-month,4,99.6,Yes
Month-to-month,11,94.2,No
Month-to-month,2,62.15,No
Month-to-month,26,79.3,No
One year,24,56.25,No
Month-to-month,12,20.3,No
Month-to-month,60,99.0,No
Two year,64,90.6,No
Two year,66,85.9,No
One year,60,79.2,No
One year,17,70.35,No
Two year,42,19.35,No
Month-to-month,1,50.15,No
Two year,47,63.8,No
Month-to-month,10,20.55,No
Two year,70,88.55,No
Month-to-month,67,101.4,No
Month-to-month,1,81.95,Yes
Month-to-month,7,69.35,Yes
Month-to-month,1,44.6,No
Month-to-month,4,63.75,No
Two year,66,109.25,No
Month-to-month,12,84.6,No
One year,24,20.45,No
Month-to-month,26,85.75,No
Month-to-month,6,91.1,Yes
Two year,57,107.95,No
Month-to-month,14,86.1,Yes
Two year,42,22.95,No
Month-to-month,25,94.7,Yes
Two year,64,19.45,No
Month-to-month,22,85.1,Yes
One year,19,19.7,No
Month-to-month,61,99.15,Yes
Month-to-month,22,87.0,No
Month-to-month,70,102.95,Yes
Month-to-month,12,79.95,No
One year,31,64.0,No
Month-to-month,11,64.9,No
Two year,68,25.75,No
Two year,72,90.15,No
Two year,67,116.1,No
Month-to-month,60,104.95,No
Month-to-month,1,45.05,Yes
Month-to-month,1,71.0,Yes
One year,58,50.0,No
Month-to-month,47,70.55,Yes
Month-to-month,1,79.7,Yes
Month-to-month,1,20.45,No
Month-to-month,22,59.0,Yes
One year,48,60.35,Yes
One year,37,19.85,No
One year,13,19.95,No
Two year,43,26.45,No
Two year,6,63.4,No
Two year,71,53.95,No
Month-to-month,1,69.25,Yes
Two year,72,95.1,No
Month-to-month,6,74.1,No
Month-to-month,12,35.5,No
Month-to-month,25,70.95,Yes
One year,21,79.2,No
Month-to-month,6,48.8,No
Month-to-month,20,89.0,Yes
Month-to-month,18,99.4,Yes
One year,43,55.45,No
Two year,35,25.4,No
Month-to-month,1,73.5,Yes
Month-to-month,32,93.5,No
Two year,52,63.9,No
One year,32,64.85,No
Two year,72,63.8,No
Month-to-month,51,44.45,No
Two year,68,19.95,No
Month-to-month,8,43.35,No
Two year,49,49.65,No
Two year,72,85.1,No
Month-to-month,9,95.5,Yes
Month-to-month,28,92.35,Yes
Month-to-month,54,89.8,No
Month-to-month,11,74.55,Yes
One year,50,103.05,No
Two year,69,116.0,No
Month-to-month,1,69.9,No
Two year,68,95.1,No
One year,40,40.25,No
Two year,31,25.75,No
Month-to-month,33,105.35,No
Two year,55,113.6,No
Two year,68,24.0,No
Month-to-month,12,19.4,No
Two year,71,86.1,No
Month-to-month,40,102.65,No
One year,64,92.85,No
One year,53,97.75,No
Month-to-month,12,83.8,Yes
Month-to-month,53,54.45,Yes
Two year,72,97.95,No
Two year,46,19.95,No
Two year,40,24.6,No
Month-to-month,12,50.95,No
Month-to-month,9,75.6,No
Month-to-month,51,80.75,No
Month-to-month,49,90.4,No
Month-to-month,41,99.8,Yes
One year,56,60.25,No
Month-to-month,4,20.2,No
One year,20,64.15,No
Month-to-month,26,20.25,No
Month-to-month,20,105.85,Yes
Month-to-month,7,75.45,Yes
Month-to-month,7,93.85,Yes
Month-to-month,51,99.0,No
Month-to-month,4,80.3,No
Month-to-month,1,19.55,No
Month-to-month,27,100.75,No
Month-to-month,22,100.75,Yes
Month-to-month,12,53.75,No
Month-to-month,3,31.0,Yes
One year,34,25.6,No
One year,24,58.35,No
Month-to-month,51,80.0,Yes
Month-to-month,14,46.35,No
Two year,59,113.75,No
Month-to-month,3,90.4,No
Two year,65,109.3,No
Month-to-month,5,70.25,Yes
Two year,59,90.3,No
Two year,72,65.25,No
Month-to-month,62,100.15,Yes
Month-to-month,28,94.5,Yes
Month-to-month,3,60.65,No
Month-to-month,19,24.1,No
Month-to-month,1,19.5,No
Month-to-month,24,85.95,No
One year,57,53.5,No
Two year,72,25.45,No
Two year,67,20.5,No
One year,52,20.85,No
Two year,71,89.9,No
One year,26,26.0,No
Two year,35,113.2,No
Two year,55,69.05,No
Two year,33,20.1,No
Two year,72,109.65,No
Month-to-month,1,19.2,No
Month-to-month,10,33.9,Yes
Month-to-month,37,90.0,No
Month-to-month,12,34.0,No
One year,1,20.4,No
Two year,62,38.6,No
Month-to-month,1,25.25,No
Month-to-month,18,60.6,No
Month-to-month,69,89.95,Yes
Month-to-month,2,74.75,No
Month-to-month,19,20.6,No
Month-to-month,12,84.45,Yes
Month-to-month,9,20.4,No
One year,27,81.7,No
Month-to-month,27,79.5,Yes
Month-to-month,1,89.15,Yes
Month-to-month,24,20.3,No
